pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,wrate,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
72,676606,Nick Margevicius,72,100,0.2,0,0.375,0.2,0.175,0.19,0.203,3,15,77.2,12.2,2099,89.7,89.35,8,27,0.296296296,44,-0.3,6.02,117,148,108,148,271,303,292
72,605452,Joe Ross,72,100,0.105,0,0.222,0.105,0.122,0.117,0.086,2,19,82.1,8.5,2199,89.1,88.99,12,28,0.428571429,43,-0.1,6.1,108,149,111,150,293,311,276
72,596133,Luke Weaver,72,100,0.105,0.158,0.125,0.263,0.143,0.141,0.115,2,19,76.6,14.9,2330,90.6,90.28,20,40,0.5,30,-0.3,5.96,111,149,106,148,298,313,278
72,659275,Dinelson Lamet,72,100,0.143,0,0.3,0.143,0.125,0.115,0.124,3,21,67,-11.3,2213,89,88.78,11,29,0.379310345,39,-0.2,6.09,107,148,108,148,288,305,268
71,592620,Jarrett Parker,71,100,0,0,0,0,0.138,0.194,0.068,0,12,78,23.2,2477,93,92.54,16,37,0.432432432,34,-0.5,6.11,117,146,116,152,287,318,304
70,642607,Dario Agrazal,70,100,0.091,0,0.143,0.091,0.076,0.107,0.118,2,22,76.9,-13.9,2217,90,90.3,11,38,0.289473684,30,0.3,6.27,109,144,101,144,292,300,262
70,656546,Jeff Hoffman,70,100,0.238,0,0.417,0.238,0.208,0.195,0.213,5,21,70.4,-13,2245,89.4,89.43,13,41,0.317073171,29,0,6.05,117,150,111,150,299,310,281
69,607200,Erick Fedde,69,100,0.133,0,0.222,0.133,0.117,0.158,0.173,2,15,67.5,-7.2,2262,89.7,89.5,6,28,0.214285714,36,-0.2,6.03,106,146,103,147,287,300,267
69,595191,Jerad Eickhoff,69,100,0,0,0,0,0.046,0.106,0.056,0,14,71.7,-18.7,2233,90.3,90.21,9,28,0.321428571,40,-0.1,6.14,110,146,101,147,289,302,272
68,606992,Eric Haase,68,100,0.063,0.188,0,0.25,0.158,0.226,0.121,1,16,85.8,11.8,2242,87.2,87.06,17,36,0.472222222,32,-0.1,6.08,108,149,117,143,288,315,292
66,608339,Zach Green,66,100,0.143,0.071,0.25,0.214,0.218,0.229,0.173,2,14,87,8.2,2156,86.3,85.55,14,28,0.5,38,-0.7,5.75,110,153,119,147,303,328,301
66,518542,Juan Centeno,66,100,0.133,0,0.154,0.133,0.214,0.278,0.201,2,15,83.8,18.9,2293,89.6,89.33,6,31,0.193548387,34,-0.3,6.17,121,156,120,152,274,313,308
66,628711,Julio Urias,66,100,0.25,0,0.375,0.25,0.255,0.163,0.127,3,12,65.9,-6,2226,90.5,90.39,4,26,0.153846154,35,-0.1,6.08,113,147,100,148,277,303,292
63,519141,Drew Pomeranz,63,100,0,0,0,0,0,0.048,0.052,0,19,69.1,-1.1,2236,89.1,88.89,24,37,0.648648649,25,-0.2,6.03,109,150,111,148,289,302,271
62,656582,Connor Joe,62,100,0.067,0,0.1,0.067,0.098,0.211,0.196,1,15,77.5,5.5,2194,85.2,84.49,7,23,0.304347826,39,-0.7,5.88,114,154,113,147,300,311,289
